,User Query,FAISS Search,ANN Search,Bert Similarity,original_answers
0,Design load calculation method,"[['load combination Engineering judgment shall be used in establishing the appropriate application of test load combinations to adequately address actual test conditions in accordance with project and code requirements while avoiding overly conservative design Ground Supported Storage Tank Load Combinations', 'doc2'], ['load combination Engineering judgment shall be used in establishing the appropriate application of test load combinations to adequately address actual test conditions in accordance with project and code requirements while avoiding overly conservative design Ground Supported Storage Tank Load Combinations', 'doc4']]","[['gas duct sizing calculation Critical pipe sizing calculation structural calculation with seismic load calculation Coal and ash handling system sizing calculation HVAC sizing calculation Water treatment and waste water treatment sizing calculation Start up and shut down procedure along with', 'doc3'], ['method using AIC318M 08 specification for Ultimate Strength Design Method All design calculation for member strength and stresses will be done by in house developed worksheets or software specified in section 10 0 For concrete members Minimum depth equals to', 'doc1']]","['load combination', 'load combination', 'structural calculation with seismic load calculation', 'strength and stresses']",ASCE/SEI 7-05
1,Structural design software and version,"[['DIPWP PROJECT Document Title DESIGN CRITERIA DOCUMENT CIVIL STRUCTURAL AND ARCHITECTURAL Document No AOD10 XW01 U 1040001 REV A 9 00 Concrete 9 01 Design Methodology Codes and Standards General Concrete member design will be done by Ultimate Strength Design', 'doc1'], ['Title DESIGN CRITERIA DOCUMENT CIVIL STRUCTURAL AND ARCHITECTURAL Document No AOD10 XW01 U 1040001 REV A BS 8004 Code of practice for foundations BS 8007 Code of practice for design of concrete structures for retaining aqueous liquids BS 8102 Code', 'doc1']]","[['DIPWP PROJECT Document Title DESIGN CRITERIA DOCUMENT CIVIL STRUCTURAL AND ARCHITECTURAL Document No AOD10 XW01 U 1040001 REV A 9 00 Concrete 9 01 Design Methodology Codes and Standards General Concrete member design will be done by Ultimate Strength Design', 'doc1'], ['and Standards Steel member design will be done by allowable stress method using AISC specification for Allowable Stress Design ninth edition All design calculation for member strength and stresses will be done by in house developed worksheets or software specified', 'doc1']]","['Ultimate Strength Design', 'BS 8102 Code', 'Ultimate Strength Design', 'in house developed worksheets']",STAAD Pro V8
2,Structural design life,"[['Title DESIGN CRITERIA DOCUMENT CIVIL STRUCTURAL AND ARCHITECTURAL Document No AOD10 XW01 U 1040001 REV A BS 8004 Code of practice for foundations BS 8007 Code of practice for design of concrete structures for retaining aqueous liquids BS 8102 Code', 'doc1'], ['DIPWP PROJECT Document Title DESIGN CRITERIA DOCUMENT CIVIL STRUCTURAL AND ARCHITECTURAL Document No AOD10 XW01 U 1040001 REV A 9 00 Concrete 9 01 Design Methodology Codes and Standards General Concrete member design will be done by Ultimate Strength Design', 'doc1']]","[['Celsius C 5 DESIGN LIFE All civil structural architectural items shall be designed for a Design life of 30 years 6 GEOTECHNICAL DESIGN DATA All foundations earthworks roadworks underground water table etc shall be designed as per COMPANY SUPPLIED geotechnical', 'doc4'], ['Celsius C 5 DESIGN LIFE All civil structural architectural items shall be designed for a Design life of 30 years 6 GEOTECHNICAL DESIGN DATA All foundations earthworks roadworks underground water table etc shall be designed as per COMPANY SUPPLIED geotechnical', 'doc2']]","['foundations', 'Ultimate Strength Design', 'Design life of 30 years 6', 'Design life of 30 years 6']",30 years
3,Basic wind speed,"[['determined by the basic equation P qzGCP qiGCpi N/m2 Non Building Structures The wind force calculation for Building structures shall be as per ASCE 7 05 Section 6 5 14 and Section 6 15 5 The applied wind force F', 'doc2'], ['determined by the basic equation P qzGCP qiGCpi N/m2 Non Building Structures The wind force calculation for Building structures shall be as per ASCE 7 05 Section 6 5 14 and Section 6 15 5 The applied wind force F', 'doc4']]","[['than 60 of operating speed For pump unit having rigid shaft design the critical speed should be atleast 120 of operating speed The supplier shall confirm that the critical speeds of the driver are compatible with the critical speeds of', 'doc3'], ['pump when coupled to its driver is at least 10 higher than the maximum operating speed The shaft diameter and distance between two consecutive bearings must include a sufficient margin to satisfy this condition The entire rotor assembly shall be', 'doc3']]","['Non Building Structures', 'Non Building Structures', '120 of operating speed', 'pump when coupled to its driver']",55ms
4,period of basic wind speed,"[['7 05 V Basic Wind Speed m/s Wind Force Building Structures The wind force calculation for Building structures shall be as per ASCE 7 05 Section 6 5 12 and Section 6 15 3 The applied wind pressure P is', 'doc2'], ['7 05 V Basic Wind Speed m/s Wind Force Building Structures The wind force calculation for Building structures shall be as per ASCE 7 05 Section 6 5 12 and Section 6 15 3 The applied wind pressure P is', 'doc4']]","[['times and loading rates of power units and steam generators at various downtime conditions Power unit s to test partial and full load rejection to demonstrate Full load rejection tests to measure transient maximum speed and steady state speed at', 'doc3'], ['have special characteristics like minimum loss of pressure resistance to wear during severe working conditions high velocity and carryover of water and solid particles quick opening time minimum effort on electric actuator etc xi The steam blowing termination criteria shall', 'doc3']]","['m/s', 'm/s', 'Full load rejection tests to measure transient maximum speed', 'quick opening time']",3 sec gust
5,Topography factor,"[['plate dimension The size shall be based on the following criteria Minimum base plate/frame dimensions Additional edge distance beyond pocket location The soil pressure shall be not more than 80 of the allowable bearing pressure under static loads due to', 'doc2'], ['plate dimension The size shall be based on the following criteria Minimum base plate/frame dimensions Additional edge distance beyond pocket location The soil pressure shall be not more than 80 of the allowable bearing pressure under static loads due to', 'doc4']]","[['ASCE 7 05 for the parameters indicated in table 6 3 Table 6 3 Basic wind Parameter for load calculation Basic 3 0 Second Gust wind speed V 55 m/s Topographic factor Kzt 1 0 Occupancy category III Importance factor', 'doc1'], ['1 15 Exposure Category C Wind Directionality factor kd 0 85 Wind loads will be considered from all directions analytical model will have basic load case for West to east and South to North wind loads For enclosed buildings/ Partially', 'doc1']]","['not more than 80 of the allowable bearing pressure under static loads', 'not more than 80 of the allowable bearing pressure under static loads', 'Kzt 1 0', 'basic load case for West to east and South to North wind loads']",1Kzt
6,Importance factor for wind calculations,"[['material specification and thickness of refractory and insulation etc supporting arrangement and expansion provisions / arrangement etc shall be furnished in the offer The predicted life of hot cyclone internal reference system shall be furnished The quantity and size range', 'doc3'], ['1 15 Exposure Category C Wind Directionality factor kd 0 85 Wind loads will be considered from all directions analytical model will have basic load case for West to east and South to North wind loads For enclosed buildings/ Partially', 'doc1']]","[['ASCE 7 05 for the parameters indicated in table 6 3 Table 6 3 Basic wind Parameter for load calculation Basic 3 0 Second Gust wind speed V 55 m/s Topographic factor Kzt 1 0 Occupancy category III Importance factor', 'doc1'], ['gas duct sizing calculation Critical pipe sizing calculation structural calculation with seismic load calculation Coal and ash handling system sizing calculation HVAC sizing calculation Water treatment and waste water treatment sizing calculation Start up and shut down procedure along with', 'doc3']]","['material specification and thickness of refractory and insulation', 'kd 0 85', 'Basic 3 0 Second Gust wind speed V 55 m/s', 'Critical pipe sizing calculation structural calculation with seismic load calculation']",1.15
7,Exposure Category ,"[['flammable atmosphere may exist shall be classified in accordance with the provisions of latest version of relevant IS Certified equipment shall be used in the designated hazardous areas To the extent practicable equipment requiring operator s attention and/or electrical equipment', 'doc3'], ['method known Areas where a potential flammable atmosphere may exist shall be classified in accordance with the provisions of latest version of relevant IS Certified equipment shall be used in the designated hazardous areas To the extent practicable equipment requiring', 'doc3']]","[['be paid to the following a Proper storage to avoid exposure as well as extremes of temperature b Surface preparation prior to painting c Mixing and thinning d Application of paints and the recommended limit on time intervals between coats', 'doc3'], ['shall be grubbed to a depth of 60 cm below finished grade but not more than 20 cm below natural grade 13 3 Slopes in Graded Areas General site grading shall be 1 in 500 to 1 in 1000 Grading', 'doc4']]","['equipment shall be used in the designated hazardous areas', 'equipment shall be used in the designated hazardous areas', 'Proper storage', 'shall be grubbed to a depth of 60 cm below finished grade']",C
8,Wind Directionality factor,"[['determined by the basic equation P qzGCP qiGCpi N/m2 Non Building Structures The wind force calculation for Building structures shall be as per ASCE 7 05 Section 6 5 14 and Section 6 15 5 The applied wind force F', 'doc2'], ['determined by the basic equation P qzGCP qiGCpi N/m2 Non Building Structures The wind force calculation for Building structures shall be as per ASCE 7 05 Section 6 5 14 and Section 6 15 5 The applied wind force F', 'doc4']]","[['the acceptable limits for dynamic forces that occur during normal machine operation In the case of a tall and slender structure there may be a need to investigate the dynamic effects of wind gusts Centrifugal pumps less than 750 kW', 'doc4'], ['the acceptable limits for dynamic forces that occur during normal machine operation In the case of a tall and slender structure there may be a need to investigate the dynamic effects of wind gusts Centrifugal pumps less than 750 kW', 'doc2']]","['Non Building Structures', 'Non Building Structures', 'In the case of a tall and slender structure', 'In the case of a tall and slender structure']",0.85 kd
9,Connection Bolts High strength Bolts,"[['for the use of high strength friction grip bolts in structural engineering Metric series BS 4848 Part 2 Hot rolled structural steel sections Hollow sections BS 4848 Part 4 Hot rolled structural steel sections equal and unequal angles BS 4929', 'doc1'], ['Alloy Steel Bolts Studs and Other Externally Threaded Fasteners ASTM A490 Standard Specification for Structural Bolts Alloy Steel Heat Treated 150 ksi Minimum Tensile Strength ASTM A490M Standard Specification for High Strength Steel Bolts Classes 10 9 and 10 9', 'doc2']]","[['Black bolt shall not be used in main structures and high tensile bolts shall not be used unless approved by the Owner Bolts shall preferably be not used in tension Minimum number of turned and fitted bolts in connection shall', 'doc3'], ['12 Standard Specification for Carbon Steel Bolts Studs and Threaded Rod ASTM A 325M 00 Standard Specification for High Strength Bolts for Structural Steel Joints Metric ASTM A 490M 00 Standard Specification for High Strength Steel Bolts Classes 10 9', 'doc1']]","['high strength friction grip bolts', 'High Strength', 'tension', 'High Strength']","Bolts 20 mm and larger shall be high strength ASTM A325M, ASTM A490 or equivalent. 
    Bolts 16 mm and smaller shall be in accordance with ASTM A307 Grade A or equivalent."
